날짜,요일,구분,7,8,9,10,11
1,토,승차,945,1252,1630,2173,3364
1,토,하차,1833,4345,7387,6241,5786
2,일,승차,676,877,1225,1360,1803
2,일,하차,875,1736,3304,2808,3422
3,월,승차,2127,3593,2624,2425,3026
3,월,하차,10126,16917,14578,6651,4799
4,화,승차,2290,3675,2526,2283,3134
4,화,하차,9643,17558,14311,6687,4934
5,수,승차,2205,3642,2682,2325,2881
5,수,하차,9636,16813,14388,6482,4828
6,목,승차,2083,3502,2797,2383,2927
6,목,하차,8944,16796,14346,6539,5081
7,금,승차,2144,3504,2786,2452,3552
7,금,하차,9081,15787,14565,6485,5384
8,토,승차,988,1387,1711,2319,3457
8,토,하차,1866,4487,8247,6441,6163
9,일,승차,673,904,1191,1459,1968
9,일,하차,902,1787,3219,2986,3201
10,월,승차,2193,3550,2797,2398,3107
10,월,하차,10187,17156,14556,6650,4733
11,화,승차,2286,3545,2721,2428,3141
11,화,하차,9548,17441,14277,6176,5240
12,수,승차,2303,3624,2755,2497,3236
12,수,하차,9474,16952,13942,6524,5176
13,목,승차,2265,3631,2747,2357,3142
13,목,하차,9098,17313,14300,6494,5210
14,금,승차,2263,3496,2741,2389,3266
14,금,하차,8433,15817,14749,6388,5240
15,토,승차,821,1306,1692,2282,3204
15,토,하차,1853,4382,7889,6430,5784
16,일,승차,860,852,1225,1268,1820
16,일,하차,1008,1949,3221,3009,3248
17,월,승차,2039,3520,2643,2286,3071
17,월,하차,9732,17098,14167,6425,4618
18,화,승차,2332,3573,2665,2355,3051
18,화,하차,9589,16931,14616,6436,5036
19,수,승차,2324,3463,2722,2336,3171
19,수,하차,9394,16751,14773,6594,4743
20,목,승차,2284,3512,2717,2332,3054
20,목,하차,8742,16587,14303,6583,4780
21,금,승차,2156,3291,2689,2472,3000
21,금,하차,8815,15960,14423,6778,5225
22,토,승차,939,1402,1755,2259,3347
22,토,하차,1964,4636,7722,6317,5810
23,일,승차,629,949,1125,1417,1852
23,일,하차,897,1872,3184,2910,3275
24,월,승차,2208,3320,2698,2370,3022
24,월,하차,9517,17204,14403,6501,4873
25,화,승차,2264,3474,2607,2381,3090
25,화,하차,9278,16979,14304,6270,5097
26,수,승차,2205,3549,2778,2434,3109
26,수,하차,9321,16650,14120,6218,4921
27,목,승차,2280,3455,2716,2456,3124
27,목,하차,8737,16795,14307,6364,4949
28,금,승차,2199,3442,2617,2514,3231
28,금,하차,8768,9703,15392,7859,5336
29,토,승차,959,1383,1677,2314,3320
29,토,하차,1993,4549,7777,6259,5941
30,일,승차,667,865,1243,1454,1910
30,일,하차,989,2015,3205,2765,3083
