"dataTime","cityName","so2Value","coValue","o3Value","no2Value","pm10Value","pm25Value"
"2017-09-25 10:00","강남구","0.005","0.6","0.012","0.035","45","34"
"2017-09-25 10:00","강동구","0.004","0.8","0.013","0.032","55","29"
"2017-09-25 10:00","강북구","0.003","0.5","0.016","0.036","40","22"
"2017-09-25 10:00","강서구","0.006","0.6","0.015","0.046","49","25"
"2017-09-25 10:00","관악구","0.005","0.6","0.011","0.039","45","25"
"2017-09-25 10:00","광진구","0.003","0.7","0.020","0.036","40","29"
"2017-09-25 10:00","구로구","0.005","0.6","0.015","0.028","49","32"
"2017-09-25 10:00","금천구","0.004","0.7","0.015","0.048","47","34"
"2017-09-25 10:00","노원구","0.002","0.5","0.028","0.033","42","24"
"2017-09-25 10:00","도봉구","0.004","0.6","0.020","0.034","37","22"
"2017-09-25 10:00","동대문구","0.005","0.5","0.016","0.028","51","26"
"2017-09-25 10:00","동작구","0.003","0.6","0.016","0.039","56","33"
"2017-09-25 10:00","마포구","0.003","0.7","0.020","0.039","47","27"
"2017-09-25 10:00","서대문구","0.005","0.5","0.025","0.026","43","23"
"2017-09-25 10:00","서초구","0.005","0.7","0.016","0.035","52","26"
"2017-09-25 10:00","성동구","0.004","0.9","0.009","0.034","61","28"
"2017-09-25 10:00","성북구","0.003","0.7","0.012","0.043","53","27"
"2017-09-25 10:00","송파구","0.005","2.0","0.020","0.043","56","15"
"2017-09-25 10:00","양천구","0.003","0.6","0.016","0.043","48","30"
"2017-09-25 10:00","영등포구","0.006","0.7","0.023","0.035","52","24"
"2017-09-25 10:00","용산구","0.004","0.4","0.014","0.034","50","30"
"2017-09-25 10:00","은평구","0.003","0.7","0.028","0.022","35","29"
"2017-09-25 10:00","종로구","0.003","0.6","0.028","0.032","40","26"
"2017-09-25 10:00","중구","0.003","0.6","0.024","0.040","45","27"
"2017-09-25 10:00","중랑구","0.006","0.5","0.012","0.034","46","19"
"2017-09-25 09:00","강남구","0.005","0.5","0.006","0.033","43","29"
"2017-09-25 09:00","강동구","0.004","0.6","0.009","0.031","49","25"
"2017-09-25 09:00","강북구","0.003","0.5","0.009","0.032","40","24"
"2017-09-25 09:00","강서구","0.004","0.6","0.012","0.044","49","21"
"2017-09-25 09:00","관악구","0.005","0.6","0.005","0.041","40","22"
"2017-09-25 09:00","광진구","0.003","0.7","0.014","0.044","40","29"
"2017-09-25 09:00","구로구","0.005","0.6","0.010","0.027","49","24"
"2017-09-25 09:00","금천구","0.004","0.8","0.005","0.050","45","35"
"2017-09-25 09:00","노원구","0.002","0.5","0.018","0.034","41","26"
"2017-09-25 09:00","도봉구","0.004","0.6","0.010","0.038","42","17"
"2017-09-25 09:00","동대문구","0.005","0.5","0.010","0.035","35","22"
"2017-09-25 09:00","동작구","0.003","0.6","0.008","0.044","51","28"
"2017-09-25 09:00","마포구","0.003","0.7","0.014","0.039","40","23"
"2017-09-25 09:00","서대문구","0.005","0.5","0.024","0.026","39","28"
"2017-09-25 09:00","서초구","0.005","0.6","0.009","0.033","49","25"
"2017-09-25 09:00","성동구","0.005","0.7","0.009","0.032","47","21"
"2017-09-25 09:00","성북구","0.003","0.6","0.011","0.037","49","23"
"2017-09-25 09:00","송파구","0.005","1.2","0.007","0.034","49","9"
"2017-09-25 09:00","양천구","0.003","0.6","0.013","0.042","47","28"
"2017-09-25 09:00","영등포구","0.005","0.6","0.020","0.034","40","21"
"2017-09-25 09:00","용산구","0.003","0.4","0.016","0.028","41","25"
"2017-09-25 09:00","은평구","0.003","0.7","0.022","0.023","43","18"
"2017-09-25 09:00","종로구","0.003","0.7","0.014","0.039","36","24"
"2017-09-25 09:00","중구","0.003","0.6","0.014","0.046","44","29"
"2017-09-25 09:00","중랑구","0.006","0.5","0.010","0.032","34","16"
"2017-09-25 08:00","강남구","0.005","0.5","0.004","0.036","39","26"
"2017-09-25 08:00","강동구","0.003","0.6","0.005","0.036","47","20"
"2017-09-25 08:00","강북구","0.002","0.5","0.003","0.026","36","24"
"2017-09-25 08:00","강서구","0.005","0.6","0.006","0.047","51","25"
"2017-09-25 08:00","관악구","0.005","0.5","0.005","0.039","40","22"
"2017-09-25 08:00","광진구","0.004","0.7","0.020","0.038","39","29"
"2017-09-25 08:00","구로구","0.005","0.6","0.006","0.029","45","30"
"2017-09-25 08:00","금천구","0.003","0.7","0.003","0.043","38","30"
"2017-09-25 08:00","노원구","0.002","0.6","0.010","0.037","43","27"
"2017-09-25 08:00","도봉구","0.003","0.6","0.008","0.034","42","22"
"2017-09-25 08:00","동대문구","0.004","0.5","0.005","0.037","44","21"
"2017-09-25 08:00","동작구","0.003","0.6","0.006","0.045","50","27"
"2017-09-25 08:00","마포구","0.003","0.6","0.011","0.038","35","23"
"2017-09-25 08:00","서대문구","0.005","0.7","0.024","0.026","37","23"
"2017-09-25 08:00","서초구","0.005","0.6","0.007","0.035","42","18"
"2017-09-25 08:00","성동구","0.004","0.7","0.010","0.027","46","18"
"2017-09-25 08:00","성북구","0.003","0.7","0.006","0.040","46","24"
"2017-09-25 08:00","송파구","0.005","1.1","0.004","0.029","39","-"
"2017-09-25 08:00","양천구","0.003","0.6","0.007","0.043","48","30"
"2017-09-25 08:00","영등포구","0.005","0.5","0.012","0.036","50","19"
"2017-09-25 08:00","용산구","0.003","0.3","0.015","0.024","33","23"
"2017-09-25 08:00","은평구","0.003","0.8","0.009","0.028","40","27"
