"","clm","veh_value","exposure","veh_body","veh_age","gender","area","agecat"
"1",0,1.06,0.3039014374,"HBACK",3,"F","C",2
"2",0,1.03,0.6488706365,"HBACK",2,"F","A",4
"3",0,3.26,0.5694729637,"UTE",2,"F","E",2
"4",0,4.14,0.3175906913,"STNWG",2,"F","D",2
"5",0,0.72,0.6488706365,"HBACK",4,"F","C",2
"6",0,2.01,0.8542094456,"HDTOP",3,"M","C",4
"7",0,1.6,0.8542094456,"PANVN",3,"M","A",4
"8",0,1.47,0.5557837098,"HBACK",2,"M","B",6
"9",0,0.52,0.3613963039,"HBACK",4,"F","A",3
"10",0,0.38,0.5201916495,"HBACK",4,"F","B",4
"11",0,1.38,0.8542094456,"HBACK",2,"M","A",2
"12",0,1.22,0.8542094456,"HBACK",3,"M","C",4
"13",0,1,0.4928131417,"HBACK",2,"F","C",4
"14",0,7.04,0.3148528405,"STNWG",1,"M","A",5
"15",1,1.66,0.4845995893,"SEDAN",3,"M","B",6
"16",0,2.35,0.3915126626,"SEDAN",2,"M","C",4
"17",1,1.51,0.9938398357,"SEDAN",3,"F","F",4
"18",1,0.76,0.5393566051,"HBACK",3,"M","C",4
"19",0,0.27,0.4517453799,"HBACK",4,"F","D",2
"20",0,0.89,0.5941136208,"HBACK",3,"F","C",3
"21",0,1.95,0.5941136208,"HBACK",1,"M","A",1
"22",0,0.39,0.5366187543,"SEDAN",4,"M","C",5
"23",0,3.86,0.5941136208,"STNWG",2,"F","B",2
"24",0,1.37,0.59137577,"HBACK",1,"F","B",1
"25",0,1.3,0.9993155373,"HBACK",2,"F","A",2
"26",0,1.44,0.0301163587,"HBACK",2,"F","C",1
"27",0,1.349,0.462696783,"HBACK",1,"F","C",5
"28",0,1.39,0.3175906913,"HBACK",3,"F","C",2
"29",0,1,0.2874743326,"STNWG",4,"M","C",3
"30",0,1.51,0.0684462697,"HBACK",2,"F","C",2
"31",0,4.45,0.5941136208,"STNWG",1,"F","C",3
"32",0,2.17,0.5366187543,"SEDAN",2,"F","A",4
"33",0,0.87,0.8542094456,"HBACK",3,"M","D",3
"34",0,4.09,0.848733744,"UTE",1,"M","A",2
"35",0,1.31,0.4052019165,"HBACK",2,"M","C",1
"36",0,1.9,0.8542094456,"SEDAN",1,"F","A",4
"37",0,2.42,0.5776865161,"SEDAN",1,"F","A",4
"38",0,1.05,0.4216290212,"HDTOP",4,"F","C",6
"39",0,1.42,0.5941136208,"TRUCK",3,"M","D",4
"40",0,3,0.8542094456,"STNWG",3,"M","B",3
"41",1,1.89,0.6543463381,"STNWG",3,"M","F",2
"42",0,2.61,0.2518822724,"STNWG",2,"M","B",4
"43",0,0.93,0.5366187543,"COUPE",4,"F","A",4
"44",0,1.49,0.4052019165,"HBACK",2,"F","C",2
"45",0,3.1,0.462696783,"HDTOP",1,"F","C",3
"46",0,1.94,0.5366187543,"SEDAN",1,"M","A",6
"47",0,2.234,0.8542094456,"SEDAN",1,"M","C",2
