clm,exposure,numclaims,claimcst0,veh_body,veh_age,gender,area,agecat,veh_value
0,0.303901437,0,0,HBACK,3,F,C,2,1.06
0,0.648870637,0,0,HBACK,2,F,A,4,1.03
0,0.569472964,0,0,UTE,2,F,E,2,3.26
0,0.317590691,0,0,STNWG,2,F,D,2,4.14
0,0.648870637,0,0,HBACK,4,F,C,2,0.72
0,0.854209446,0,0,HDTOP,3,M,C,4,2.01
0,0.854209446,0,0,PANVN,3,M,A,4,1.6
0,0.55578371,0,0,HBACK,2,M,B,6,1.47
0,0.361396304,0,0,HBACK,4,F,A,3,0.52
0,0.52019165,0,0,HBACK,4,F,B,4,0.38
0,0.854209446,0,0,HBACK,2,M,A,2,1.38
0,0.854209446,0,0,HBACK,3,M,C,4,1.22
0,0.492813142,0,0,HBACK,2,F,C,4,1
0,0.314852841,0,0,STNWG,1,M,A,5,7.04
1,0.484599589,1,669.5099993,SEDAN,3,M,B,6,1.66
0,0.391512663,0,0,SEDAN,2,M,C,4,2.35
1,0.993839836,1,806.6099987,SEDAN,3,F,F,4,1.51
1,0.539356605,1,401.8054514,HBACK,3,M,C,4,0.76
0,0.45174538,0,0,HBACK,4,F,D,2,0.27
0,0.594113621,0,0,HBACK,3,F,C,3,0.89
0,0.594113621,0,0,HBACK,1,M,A,1,1.95
0,0.536618754,0,0,SEDAN,4,M,C,5,0.39
0,0.594113621,0,0,STNWG,2,F,B,2,3.86
0,0.59137577,0,0,HBACK,1,F,B,1,1.37
0,0.999315537,0,0,HBACK,2,F,A,2,1.3
0,0.030116359,0,0,HBACK,2,F,C,1,1.44
0,0.462696783,0,0,HBACK,1,F,C,5,1.349
0,0.317590691,0,0,HBACK,3,F,C,2,1.39
0,0.287474333,0,0,STNWG,4,M,C,3,1
0,0.06844627,0,0,HBACK,2,F,C,2,1.51
0,0.594113621,0,0,STNWG,1,F,C,3,4.45
0,0.536618754,0,0,SEDAN,2,F,A,4,2.17
0,0.854209446,0,0,HBACK,3,M,D,3,0.87
0,0.848733744,0,0,UTE,1,M,A,2,4.09
0,0.405201917,0,0,HBACK,2,M,C,1,1.31
0,0.854209446,0,0,SEDAN,1,F,A,4,1.9
0,0.577686516,0,0,SEDAN,1,F,A,4,2.42
0,0.421629021,0,0,HDTOP,4,F,C,6,1.05
0,0.594113621,0,0,TRUCK,3,M,D,4,1.42
0,0.854209446,0,0,STNWG,3,M,B,3,3
1,0.654346338,2,1811.709997,STNWG,3,M,F,2,1.89
0,0.251882272,0,0,STNWG,2,M,B,4,2.61
0,0.536618754,0,0,COUPE,4,F,A,4,0.93
0,0.405201917,0,0,HBACK,2,F,C,2,1.49
0,0.462696783,0,0,HDTOP,1,F,C,3,3.1
0,0.536618754,0,0,SEDAN,1,M,A,6,1.94
0,0.854209446,0,0,SEDAN,1,M,C,2,2.234
0,0.854209446,0,0,SEDAN,2,F,B,4,1.62
0,0.536618754,0,0,HDTOP,3,M,D,4,2.14
0,0.249144422,0,0,HBACK,2,F,E,1,1.77
0,0.462696783,0,0,STNWG,1,M,F,2,4.03
0,0.095824778,0,0,SEDAN,1,F,C,3,2.65
0,0.303901437,0,0,STNWG,4,M,A,1,1.13
0,0.169746749,0,0,SEDAN,3,F,D,3,1.53
0,0.906228611,0,0,HBACK,2,F,F,3,1.05
0,0.536618754,0,0,COUPE,4,M,B,4,0.88
0,0.854209446,0,0,STNWG,3,M,B,5,2.9
0,0.536618754,0,0,HBACK,1,F,A,2,2.67
0,0.344969199,0,0,SEDAN,4,M,C,5,0.83
0,0.249144422,0,0,SEDAN,4,F,C,1,0.7
0,0.906228611,0,0,STNWG,3,F,A,3,1.15
0,0.317590691,0,0,HBACK,3,F,B,3,0.99
0,0.971937029,0,0,SEDAN,2,F,B,2,1.75
0,0.095824778,0,0,SEDAN,1,F,C,3,2.65
1,0.851471595,1,5434.439987,STNWG,2,M,F,3,4.06
1,0.317590691,1,865.789999,HBACK,3,F,A,4,1.39
0,0.906228611,0,0,HBACK,2,F,B,5,1.19
0,0.906228611,0,0,HBACK,2,F,A,1,1.19
0,0.353182752,0,0,HBACK,3,F,B,2,0.79
0,0.854209446,0,0,HBACK,2,F,C,3,1.74
0,0.093086927,0,0,COUPE,4,M,C,2,0.77
0,0.030116359,0,0,HBACK,2,M,A,5,2.58
0,0.030116359,0,0,SEDAN,3,F,E,3,0.79
0,0.673511294,0,0,UTE,4,F,E,3,1.79
0,0.046543463,0,0,HBACK,1,M,C,6,1.79
0,0.854209446,0,0,HBACK,1,M,C,1,1.9
0,0.095824778,0,0,STNWG,4,M,A,3,1.84
0,0.030116359,0,0,HBACK,4,F,B,4,0.39
0,0.024640657,0,0,STNWG,2,M,A,5,5.39
0,0.030116359,0,0,SEDAN,2,F,B,4,1.43
0,0.229979466,0,0,MIBUS,3,F,C,3,2.33
0,0.34770705,0,0,UTE,1,F,E,2,3.68
0,0.317590691,0,0,STNWG,2,F,D,2,3.43
0,0.229979466,0,0,SEDAN,3,M,A,3,1.13
0,0.317590691,0,0,HDTOP,3,M,F,5,2.65
0,0.229979466,0,0,UTE,3,M,A,2,1.98
0,0.249144422,0,0,HBACK,3,F,E,3,0.68
0,0.665297741,0,0,SEDAN,3,M,C,4,1.15
0,0.999315537,0,0,HDTOP,3,M,F,4,3.19
0,0.344969199,0,0,SEDAN,3,M,C,4,1.14
0,0.219028063,0,0,SEDAN,2,F,C,4,1.43
0,0.777549624,0,0,HDTOP,4,F,D,2,1.22
0,0.24366872,0,0,SEDAN,2,M,A,4,1.75
0,0.750171116,0,0,HBACK,4,F,A,2,0.38
0,0.232717317,0,0,STNWG,2,M,D,2,4.7
1,0.317590691,1,1105.769999,STNWG,1,F,F,5,2.66
0,0.229979466,0,0,SEDAN,1,F,A,1,1.59
0,0.027378508,0,0,SEDAN,4,M,A,4,0.54
1,0.071184121,1,200,HBACK,4,F,A,5,0.5
0,0.229979466,0,0,HBACK,2,F,B,1,1.3
0,0.027378508,0,0,HBACK,2,F,C,4,1.41
0,0.317590691,0,0,HBACK,2,F,B,4,1.75
0,0.030116359,0,0,UTE,2,M,C,2,2.29
0,0.221765914,0,0,STNWG,1,F,D,3,4.64
0,0.27652293,0,0,HBACK,3,M,C,6,0.8
0,0.851471595,0,0,STNWG,2,F,C,3,3.55
0,0.317590691,0,0,HBACK,2,M,A,3,1.75
0,0.6954141,0,0,HBACK,2,F,B,2,1.48
0,0.394250513,0,0,HBACK,3,M,C,3,1.22
0,0.306639288,0,0,UTE,2,F,A,2,3.14
